time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6,x,y,z
24.23,0.820313071551518,0.798728873614791,-0.157176410940661,-1.49028691474112e-16,0.92924386411704,0.820313071551518,-0.966502579617314,-0.567267038824641,0.394154838556116,1.46633138335861e-17,0.173112200271755,-0.966502579617314,-0.479455599644802,-0.281405724096557,0.195529477580546,7.27407052513572e-18,0.085876246517613,-0.479455599644802,0,0,0,0,0,0,0.326953502495322,0.350620556425565,0.285314512893772
24.24,0.810624349661693,0.793042295335183,-0.153225198918225,-1.48881698830003e-16,0.930979230374244,0.810624349661693,-0.9712140754737,-0.570032345776998,0.39607626011028,1.47347943902083e-17,0.173956085669964,-0.9712140754737,-0.46282195678732,-0.271642980025696,0.188746018380999,7.02171286923416e-18,0.0828969616462438,-0.462821956787321,0,0,0,0,0,0,0.329828493066472,0.346903482024096,0.286678058028476
24.25,0.80088934663654,0.787328553379922,-0.149255112726379,-1.48734004030693e-16,0.932722886137692,0.80088934663654,-0.975758594612704,-0.572699649485474,0.397929585952679,1.48037416561166e-17,0.174770063536057,-0.975758594612705,-0.44606107182295,-0.261805554050502,0.181910667864082,6.76742475708187e-18,0.0798948861879115,-0.44606107182295,0,0,0,0,0,0,0.332671171449641,0.343141141352369,0.288042855937364
24.26,0.791109738523773,0.781588631467669,-0.145266835883542,-1.48585632504376e-16,0.934474531207141,0.791109738523773,-0.980134889082893,-0.57526821749293,0.399714307149237,1.48701366979901e-17,0.175553910346969,-0.980134889082893,-0.429177838678881,-0.251896318551913,0.175025421849694,6.51128043699623e-18,0.0768708967036537,-0.429177838678881,0,0,0,0,0,0,0.335480115579689,0.33933441135845,0.28940856337658
24.27,0.781287213605923,0.775823520498036,-0.141261056897684,-1.48436609864865e-16,0.936233863190948,0.781287213605923,-0.984341759872107,-0.577737346066037,0.401429934724081,1.49339613249911e-17,0.176307411345247,-0.984341759872107,-0.412177151282298,-0.241918145910862,0.168092276157733,6.25335415729454e-18,0.0738258697545067,-0.412177151282299,0,0,0,0,0,0,0.338253929967413,0.335484210695826,0.290774837979479
24.28,0.771423471910948,0.770034218264352,-0.137238469066743,-1.4828696190417e-16,0.938000577593724,0.771423471910948,-0.988378056907455,-0.580106360195276,0.403075999659533,1.4995198088765e-17,0.177030360539046,-0.988378056907456,-0.395063903560392,-0.231873908508286,0.161113226608098,5.99372016629415e-18,0.0707606819015081,-0.395063903560392,0,0,0,0,0,0,0.340991247312735,0.331591499026974,0.292141338458184
24.29,0.761520224722837,0.764221729166421,-0.133199770279041,-1.48136714585069e-16,0.939774367903986,0.761520224722836,-0.992242679055321,-0.582374613594934,0.404652052896116,1.50538302834404e-17,0.177722560702134,-0.992242679055321,-0.377842989440351,-0.221766478725122,0.15409026902069,5.73245271231242e-18,0.0676762097056951,-0.377842989440351,0,0,0,0,0,0,0.343690730087926,0.327657276257526,0.293507724804049
24.3,0.751579194092219,0.758387063923283,-0.129145662813705,-1.47985894033692e-16,0.941554925681821,0.751579194092218,-0.995934574121359,-0.584541488703113,0.406157665332554,1.51098419456291e-17,0.178383823373888,-0.995934574121359,-0.36051930284936,-0.211598728942303,0.147025399215404,5.46962604366662e-18,0.064573329728104,-0.360519302849361,0,0,0,0,0,0,0.346351072087699,0.323682581702128,0.294873658486839
24.31,0.74160211234697,0.752531239285982,-0.125076853141085,-1.47834526532084e-16,0.943341940646536,0.74160211234697,-0.999452738850495,-0.586606396681718,0.407592427825764,1.51632178544259e-17,0.179013968859294,-0.999452738850495,-0.34309773771461,-0.201373531540768,0.139920613012142,5.20531440867416e-18,0.0614529185297725,-0.343097737714611,0,0,0,0,0,0,0.348970999943077,0.31966849318329,0.29623880265245
24.32,0.731590721602822,0.74665527775032,-0.120994051723168,-1.47682638510792e-16,0.945135100764314,0.731590721602822,-1.00279621892693,-0.588568777416468,0.408955951190869,1.52139435314091e-17,0.179612826228951,-1.00279621892693,-0.325583187963289,-0.191093758901451,0.132777906230802,4.93959205565232e-18,0.0583158526717373,-0.325583187963289,0,0,0,0,0,0,0.351549274595941,0.3156161260647,0.297602822318964
